fixture_id,date,home_team,away_team,predicted_outcome,predicted_score,actual_outcome,actual_score,prob_home,prob_draw,prob_away,is_correct_outcome,is_correct_exact_score,brier_score
1,21/08/2026,Arsenal,Coventry,H,2-0,H,3-0,0.795,0.159,0.045,1,0,0.0693
2,22/08/2026,Hull,Manchester United,A,0-1,H,2-0,0.143,0.249,0.608,0,0,1.1661
3,22/08/2026,Everton,Crystal Palace,D,1-1,H,2-0,0.322,0.346,0.332,0,0,0.6896
4,22/08/2026,Ipswich,Sunderland,A,0-1,H,2-1,0.219,0.354,0.427,0,0,0.9176
5,22/08/2026,Nottingham Forest,Leeds,H,1-0,A,0-1,0.349,0.346,0.305,0,0,0.7245
6,22/08/2026,Brentford,Tottenham,H,1-0,H,3-0,0.363,0.347,0.291,1,0,0.6109
7,23/08/2026,Brighton,Aston Villa,H,1-0,H,4-0,0.409,0.348,0.243,1,0,0.5294
8,23/08/2026,Manchester City,Bournemouth,H,2-0,H,2-1,0.684,0.231,0.085,1,0,0.1604
9,23/08/2026,Newcastle United,Liverpool,A,0-1,D,2-2,0.223,0.304,0.474,0,0,0.7588
