iter	Passed	Remaining
421	2256	951
422	2261	946
423	2266	940
424	2271	935
425	2275	929
426	2280	923
427	2285	918
428	2290	912
429	2295	907
430	2299	901
431	2304	896
432	2309	890
433	2314	885
434	2318	879
435	2323	874
436	2328	868
437	2333	862
438	2337	857
439	2342	851
440	2347	846
441	2352	840
442	2358	835
443	2363	830
444	2368	825
445	2374	819
446	2379	814
447	2384	809
448	2389	803
449	2394	798
450	2399	792
451	2404	787
452	2409	781
453	2414	776
454	2419	771
455	2424	765
456	2430	760
457	2436	755
458	2442	750
459	2448	745
460	2454	740
461	2460	734
462	2464	729
463	2469	723
464	2473	718
465	2478	712
466	2482	707
467	2487	701
468	2491	695
469	2496	690
470	2501	685
471	2505	679
472	2510	674
473	2515	668
474	2520	663
475	2524	657
476	2529	652
477	2534	646
478	2538	641
479	2543	635
480	2549	630
481	2553	625
482	2558	619
483	2563	614
484	2568	608
485	2573	603
486	2579	598
487	2584	593
488	2589	587
489	2596	582
490	2601	577
491	2606	572
492	2611	566
493	2616	561
494	2621	556
495	2625	550
496	2630	545
497	2635	539
498	2640	534
499	2646	529
500	2652	524
501	2657	518
502	2662	513
503	2668	508
504	2674	503
505	2680	497
506	2686	492
507	2692	487
508	2697	482
509	2703	477
510	2709	471
511	2714	466
512	2718	461
513	2722	455
514	2727	450
515	2731	444
516	2735	439
517	2739	433
518	2744	428
519	2748	422
520	2753	417
521	2758	412
522	2762	406
523	2767	401
524	2772	396
525	2777	390
526	2781	385
527	2786	379
528	2791	374
529	2795	369
530	2800	363
531	2805	358
532	2809	353
533	2814	347
534	2819	342
535	2824	337
536	2829	331
537	2834	326
538	2839	321
539	2845	316
540	2851	310
541	2856	305
542	2861	300
543	2867	295
544	2872	289
545	2877	284
546	2882	279
547	2887	273
548	2892	268
549	2897	263
550	2902	258
551	2907	252
552	2912	247
553	2917	242
554	2922	236
555	2927	231
556	2933	226
557	2939	221
558	2945	216
559	2950	210
560	2956	205
561	2961	200
562	2967	195
563	2973	189
564	2979	184
565	2987	179
566	2993	174
567	2998	168
568	3003	163
569	3007	158
570	3012	152
571	3016	147
572	3021	142
573	3025	137
574	3029	131
575	3033	126
576	3038	121
577	3043	115
578	3048	110
579	3053	105
580	3057	99
581	3062	94
582	3067	89
583	3072	84
584	3077	78
585	3083	73
586	3087	68
587	3092	63
588	3098	57
589	3102	52
590	3107	47
591	3112	42
592	3118	36
593	3123	31
594	3128	26
595	3133	21
596	3138	15
597	3144	10
598	3149	5
599	3155	0
