iter	MultiClass
489	0.6411891767
490	0.6408695474
491	0.6405397938
492	0.6400143511
493	0.6394309245
494	0.6385055286
495	0.6379338096
496	0.6375981672
497	0.6368889799
498	0.6361540482
499	0.6355805336
500	0.6350885624
501	0.6345755679
502	0.6339373832
503	0.6331713591
504	0.6326906466
505	0.6321572862
506	0.631875599
507	0.6312839735
508	0.6307211047
509	0.6300355571
510	0.629672716
511	0.6290798077
512	0.6284909393
513	0.6274664345
514	0.6270573138
515	0.6263710704
516	0.6259758368
517	0.6253964631
518	0.6249010268
519	0.6244345475
520	0.6240730572
521	0.623464707
522	0.6227711536
523	0.6222731019
524	0.6217567342
525	0.6211956963
526	0.6207142195
527	0.6203466098
528	0.6200067798
529	0.6194403388
530	0.6188524461
531	0.6184592228
532	0.6177529137
533	0.6172196062
534	0.6169902121
535	0.6163430966
536	0.6157367961
537	0.6152461395
538	0.6146766941
539	0.6143360921
540	0.613814885
541	0.6133286798
542	0.6128433482
543	0.6120827749
544	0.6114092024
545	0.6109632832
546	0.6103058038
547	0.6096388228
548	0.6089280654
549	0.6086393155
550	0.6084180086
551	0.6078643309
552	0.6074245526
553	0.6068957713
554	0.6065057998
555	0.6060752257
556	0.6056019251
557	0.6050273529
558	0.6044864702
559	0.6039050946
560	0.6033432003
561	0.6030811966
562	0.602125228
563	0.6016268949
564	0.6010483982
565	0.6008455272
566	0.6002742166
567	0.5997335708
568	0.5991190438
569	0.598531523
570	0.598146326
571	0.5975316222
572	0.5967762843
573	0.5961749742
574	0.5954753318
575	0.5950841268
576	0.5944704374
577	0.5940023707
578	0.5934520576
579	0.5928573505
580	0.592068025
581	0.5916528239
582	0.5910230645
583	0.590503091
584	0.5897985238
585	0.5893214064
586	0.5889685122
587	0.5886321694
588	0.588214573
589	0.5878001348
590	0.5875280693
591	0.5868671039
592	0.5864645882
593	0.5859619792
594	0.5855139002
595	0.5852011642
596	0.5846407069
597	0.5841864541
598	0.5836189207
599	0.5833374449
